What is your main occupation?,annotation_Acceptance by others,annotation_Access to area,annotation_Access to finance,annotation_Accessibility to services,annotation_Aesthetics,annotation_Altruism,annotation_Appeal (senses),annotation_Aspiration,annotation_Asset,annotation_Availability of goods/products,annotation_Barter trade,annotation_Being healthy,annotation_Being informed,annotation_Being understood,annotation_Caring for others,annotation_Clean Air,annotation_Collaboration,annotation_Comfort,annotation_Community development,annotation_Connection,annotation_Consensus,annotation_Continuous costs,annotation_Diversity,annotation_Duty (role fulfilling),annotation_Ease of use,annotation_Entertainment,annotation_Entrepreneurship,annotation_Equality,annotation_Faith,annotation_Fixed costs,annotation_Food Security,annotation_Freedom of choice,annotation_Freedom of expression,annotation_Freedom to move,annotation_Home (feeling),annotation_Hygiene & Sanitation,annotation_Income,annotation_Innovation,annotation_Knowledge attainment (learning),annotation_Medical treatment,annotation_Mental health,annotation_Morality,annotation_Multipurpose,annotation_Ownership,annotation_Personal growth,annotation_Personal performance,annotation_Practical skill attainment,annotation_Preservation of natural environment,annotation_Privacy,annotation_Quality,annotation_Recreation,annotation_Reliability,annotation_Respect from others,"annotation_Safety (from animals, items, nature)",annotation_Security (from people),annotation_Self-worth,annotation_Shelter,annotation_Support network,annotation_Time benefit,annotation_Time management,annotation_Togetherness (loved ones),annotation_Tradition,annotation_Transportation (of goods),annotation_Travel (of people),annotation_Trust,annotation_Unburden,annotation_Understanding others,annotation_Water Security,annotation_Wellbeing,annotation_Yield
Accountant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farmer-animals,0.0,0.0,0.025210084033613446,0.06722689075630252,0.09243697478991597,0.0,0.0,0.01680672268907563,0.025210084033613446,0.03361344537815126,0.04201680672268908,0.10084033613445378,0.21008403361344538,0.0,0.01680672268907563,0.058823529411764705,0.01680672268907563,0.04201680672268908,0.05042016806722689,0.2773109243697479,0.0,0.04201680672268908,0.0,0.0,0.025210084033613446,0.04201680672268908,0.05042016806722689,0.0,0.11764705882352941,0.07563025210084033,0.31092436974789917,0.0,0.008403361344537815,0.0,0.0,0.025210084033613446,0.06722689075630252,0.01680672268907563,0.11764705882352941,0.07563025210084033,0.008403361344537815,0.03361344537815126,0.226890756302521,0.025210084033613446,0.008403361344537815,0.025210084033613446,0.05042016806722689,0.18487394957983194,0.03361344537815126,0.03361344537815126,0.01680672268907563,0.03361344537815126,0.008403361344537815,0.3277310924369748,0.16806722689075632,0.01680672268907563,0.2689075630252101,0.04201680672268908,0.0,0.0,0.01680672268907563,0.01680672268907563,0.13445378151260504,0.13445378151260504,0.0,0.07563025210084033,0.008403361344537815,0.226890756302521,0.008403361344537815,0.12605042016806722
Farmer-crops,0.0,0.03773584905660377,0.031446540880503145,0.07547169811320754,0.06918238993710692,0.006289308176100629,0.0,0.006289308176100629,0.006289308176100629,0.06289308176100629,0.050314465408805034,0.09433962264150944,0.09433962264150944,0.0,0.018867924528301886,0.050314465408805034,0.0,0.06918238993710692,0.018867924528301886,0.20125786163522014,0.0,0.025157232704402517,0.0,0.012578616352201259,0.018867924528301886,0.0440251572327044,0.006289308176100629,0.0,0.1069182389937107,0.03773584905660377,0.25157232704402516,0.006289308176100629,0.0,0.0,0.012578616352201259,0.050314465408805034,0.0440251572327044,0.012578616352201259,0.1320754716981132,0.06289308176100629,0.012578616352201259,0.031446540880503145,0.20754716981132076,0.018867924528301886,0.012578616352201259,0.03773584905660377,0.05660377358490566,0.20125786163522014,0.06918238993710692,0.06289308176100629,0.006289308176100629,0.06289308176100629,0.006289308176100629,0.25157232704402516,0.1069182389937107,0.006289308176100629,0.18867924528301888,0.0440251572327044,0.006289308176100629,0.012578616352201259,0.012578616352201259,0.012578616352201259,0.06289308176100629,0.05660377358490566,0.0,0.0440251572327044,0.0,0.22641509433962265,0.006289308176100629,0.1320754716981132
Fisherman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Government jobholder,0.0,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.0,0.21428571428571427,0.07142857142857142,0.5,0.0,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.5,0.0,0.0,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.0,0.21428571428571427,0.0,0.35714285714285715,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.0,0.35714285714285715,0.07142857142857142,0.42857142857142855,0.0,0.21428571428571427
Housework unpaid,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.04,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.16,0.08,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.04
IT sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.0,0.043478260869565216,0.06521739130434782,0.15217391304347827,0.06521739130434782,0.021739130434782608,0.0,0.021739130434782608,0.043478260869565216,0.08695652173913043,0.021739130434782608,0.08695652173913043,0.13043478260869565,0.0,0.021739130434782608,0.043478260869565216,0.0,0.08695652173913043,0.0,0.21739130434782608,0.021739130434782608,0.13043478260869565,0.0,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.0,0.13043478260869565,0.13043478260869565,0.30434782608695654,0.0,0.0,0.0,0.021739130434782608,0.10869565217391304,0.13043478260869565,0.043478260869565216,0.06521739130434782,0.06521739130434782,0.021739130434782608,0.0,0.2608695652173913,0.0,0.043478260869565216,0.06521739130434782,0.06521739130434782,0.2391304347826087,0.043478260869565216,0.08695652173913043,0.0,0.13043478260869565,0.0,0.2391304347826087,0.06521739130434782,0.021739130434782608,0.1956521739130435,0.10869565217391304,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.0,0.021739130434782608,0.043478260869565216,0.0,0.10869565217391304,0.0,0.2391304347826087,0.021739130434782608,0.043478260869565216
Private jobholder,0.0,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.029411764705882353,0.08823529411764706,0.08823529411764706,0.17647058823529413,0.0,0.0,0.058823529411764705,0.0,0.08823529411764706,0.0,0.20588235294117646,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.17647058823529413,0.0,0.3235294117647059,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.14705882352941177,0.0,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.2647058823529412,0.029411764705882353,0.0,0.0,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.0,0.029411764705882353,0.08823529411764706,0.0,0.2647058823529412,0.058823529411764705,0.0,0.17647058823529413,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.08823529411764706,0.0,0.20588235294117646,0.029411764705882353,0.14705882352941177
Retired,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.25,0.0,0.0,0.08333333333333333,0.0,0.25,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,0.0,0.08333333333333333
