,0
Of these appliances which is the least valuable?_Fan,0.2043935052531041
Of these appliances which is the least valuable?_Fridge,0.15950334288443171
Of these appliances which is the least valuable?_Computer,0.07736389684813753
Of these appliances which is the least valuable?_Electric Iron,0.0659025787965616
Of these appliances which is the least valuable?_Gas Stove,0.033428844317096466
Of these appliances which is the least valuable?_Electric Pressure Cooker,0.03247373447946514
Of these appliances which is the least valuable?_TV,0.030563514804202482
Of these appliances which is the least valuable?_Irrigation Pump,0.027698185291308502
Of these appliances which is the least valuable?_Generator,0.024832855778414518
Of these appliances which is the least valuable?_Torch,0.021967526265520534
Of these appliances which is the least valuable?_Grinder,0.021012416427889206
Of these appliances which is the least valuable?_Radio,0.02005730659025788
Of these appliances which is the least valuable?_Grain Mill,0.01623686723973257
Of these appliances which is the least valuable?_Stove,0.013371537726838587
Of these appliances which is the least valuable?_Water Pump,0.013371537726838587
Of these appliances which is the least valuable?_Mobile Phone,0.011461318051575931
