What is your main occupation?,Of these appliances which is the least valuable?_Computer,Of these appliances which is the least valuable?_Electric Iron,Of these appliances which is the least valuable?_Electric Pressure Cooker,Of these appliances which is the least valuable?_Fan,Of these appliances which is the least valuable?_Fridge,Of these appliances which is the least valuable?_Gas Stove,Of these appliances which is the least valuable?_Generator,Of these appliances which is the least valuable?_Grain Mill,Of these appliances which is the least valuable?_Grinder,Of these appliances which is the least valuable?_Irrigation Pump,Of these appliances which is the least valuable?_Mobile Phone,Of these appliances which is the least valuable?_Radio,Of these appliances which is the least valuable?_Stove,Of these appliances which is the least valuable?_TV,Of these appliances which is the least valuable?_Torch,Of these appliances which is the least valuable?_Water Pump
Accountant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Farmer-animals,0.07563025210084033,0.03361344537815126,0.05042016806722689,0.29411764705882354,0.19327731092436976,0.04201680672268908,0.01680672268907563,0.025210084033613446,0.03361344537815126,0.0,0.008403361344537815,0.025210084033613446,0.01680672268907563,0.04201680672268908,0.008403361344537815,0.008403361344537815
Farmer-crops,0.07547169811320754,0.05660377358490566,0.012578616352201259,0.2138364779874214,0.2578616352201258,0.05660377358490566,0.025157232704402517,0.025157232704402517,0.012578616352201259,0.0,0.0,0.018867924528301886,0.012578616352201259,0.025157232704402517,0.012578616352201259,0.012578616352201259
Fisherman,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
Government jobholder,0.0,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142
Housework unpaid,0.04,0.16,0.0,0.04,0.32,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0
IT sector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.021739130434782608,0.15217391304347827,0.043478260869565216,0.1956521739130435,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0
Private jobholder,0.11764705882352941,0.058823529411764705,0.029411764705882353,0.23529411764705882,0.14705882352941177,0.029411764705882353,0.0,0.029411764705882353,0.0,0.08823529411764706,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.0,0.029411764705882353
Retired,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small business employee,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.3333333333333333,0.12121212121212122,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.06060606060606061,0.09090909090909091,0.030303030303030304
Small business owner,0.06206896551724138,0.08275862068965517,0.04827586206896552,0.2413793103448276,0.1310344827586207,0.04827586206896552,0.041379310344827586,0.0,0.020689655172413793,0.041379310344827586,0.0,0.013793103448275862,0.027586206896551724,0.0,0.05517241379310345,0.013793103448275862
Student,0.027777777777777776,0.1388888888888889,0.05555555555555555,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.0,0.027777777777777776,0.0,0.0
Teacher,0.045454545454545456,0.045454545454545456,0.0,0.3181818181818182,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.09090909090909091,0.0
Unemployed,0.10410958904109589,0.06027397260273973,0.024657534246575342,0.1780821917808219,0.16164383561643836,0.01643835616438356,0.024657534246575342,0.00821917808219178,0.01643835616438356,0.038356164383561646,0.019178082191780823,0.024657534246575342,0.00821917808219178,0.0410958904109589,0.010958904109589041,0.01643835616438356
