,0
annotation_Food Security,0.3027698185291309
"annotation_Safety (from animals, items, nature)",0.2903533906399236
annotation_Water Security,0.26456542502387775
annotation_Multipurpose,0.25405921680993315
annotation_Connection,0.24259789875835722
annotation_Shelter,0.22922636103151864
annotation_Preservation of natural environment,0.2110792741165234
annotation_Being informed,0.1556829035339064
annotation_Faith,0.13371537726838587
annotation_Knowledge attainment (learning),0.12416427889207259
annotation_Yield,0.11843361986628462
annotation_Accessibility to services,0.1069723018147087
annotation_Being healthy,0.1069723018147087
annotation_Security (from people),0.10601719197707736
annotation_Income,0.10506208213944604
annotation_Travel (of people),0.10124164278892073
annotation_Transportation (of goods),0.09837631327602674
annotation_Quality,0.09455587392550144
annotation_Medical treatment,0.0936007640878701
annotation_Privacy,0.09264565425023878
annotation_Unburden,0.08691499522445081
annotation_Reliability,0.08500477554918816
annotation_Availability of goods/products,0.0830945558739255
annotation_Practical skill attainment,0.08118433619866285
annotation_Aesthetics,0.07831900668576887
annotation_Support network,0.07736389684813753
annotation_Fixed costs,0.07449856733524356
annotation_Hygiene & Sanitation,0.0725883476599809
annotation_Comfort,0.06399235912129896
annotation_Access to finance,0.055396370582617004
annotation_Continuous costs,0.04775549188156638
annotation_Clean Air,0.04775549188156638
annotation_Morality,0.04297994269340974
annotation_Entrepreneurship,0.041069723018147083
annotation_Personal performance,0.03629417382999045
annotation_Barter trade,0.03533906399235912
annotation_Caring for others,0.034383954154727794
annotation_Access to area,0.02865329512893983
annotation_Community development,0.027698185291308502
annotation_Asset,0.027698185291308502
annotation_Time benefit,0.026743075453677174
annotation_Entertainment,0.025787965616045846
annotation_Mental health,0.024832855778414518
annotation_Ease of use,0.02387774594078319
annotation_Innovation,0.021012416427889206
annotation_Personal growth,0.019102196752626553
annotation_Ownership,0.019102196752626553
annotation_Aspiration,0.017191977077363897
annotation_Wellbeing,0.017191977077363897
annotation_Tradition,0.017191977077363897
annotation_Togetherness (loved ones),0.01623686723973257
annotation_Time management,0.015281757402101241
annotation_Duty (role fulfilling),0.015281757402101241
annotation_Respect from others,0.012416427889207259
annotation_Self-worth,0.011461318051575931
annotation_Altruism,0.010506208213944603
annotation_Home (feeling),0.007640878701050621
annotation_Understanding others,0.007640878701050621
annotation_Recreation,0.0057306590257879654
annotation_Acceptance by others,0.004775549188156638
annotation_Collaboration,0.0038204393505253103
annotation_Consensus,0.0038204393505253103
annotation_Freedom of expression,0.0038204393505253103
annotation_Being understood,0.0028653295128939827
annotation_Freedom of choice,0.0028653295128939827
annotation_Appeal (senses),0.0019102196752626551
annotation_Diversity,0.0019102196752626551
annotation_Freedom to move,0.0019102196752626551
annotation_Trust,0.0009551098376313276
annotation_Equality,0.0009551098376313276
