Age (Range),Given the chosen climate event - which 3 items are most useful to you?_Borehole,Given the chosen climate event - which 3 items are most useful to you?_Donkey and Cart,Given the chosen climate event - which 3 items are most useful to you?_Irrigation,Given the chosen climate event - which 3 items are most useful to you?_Hospital,Given the chosen climate event - which 3 items are most useful to you?_Rainwater Harvesting System,Given the chosen climate event - which 3 items are most useful to you?_Electricity,Given the chosen climate event - which 3 items are most useful to you?_Gas Stove,Given the chosen climate event - which 3 items are most useful to you?_River,Given the chosen climate event - which 3 items are most useful to you?_Water,Given the chosen climate event - which 3 items are most useful to you?_Money,Given the chosen climate event - which 3 items are most useful to you?_Furniture,Given the chosen climate event - which 3 items are most useful to you?_House,Given the chosen climate event - which 3 items are most useful to you?_Mobile Phone,Given the chosen climate event - which 3 items are most useful to you?_Vegetables,Given the chosen climate event - which 3 items are most useful to you?_Clothes,Given the chosen climate event - which 3 items are most useful to you?_Bike,Given the chosen climate event - which 3 items are most useful to you?_Jerrycan,Given the chosen climate event - which 3 items are most useful to you?_Solar PV System,Given the chosen climate event - which 3 items are most useful to you?_Water Pump,Given the chosen climate event - which 3 items are most useful to you?_Bible,Given the chosen climate event - which 3 items are most useful to you?_Crops,Given the chosen climate event - which 3 items are most useful to you?_Charcoal Stove,Given the chosen climate event - which 3 items are most useful to you?_Car,Given the chosen climate event - which 3 items are most useful to you?_Watering Can,Given the chosen climate event - which 3 items are most useful to you?_Wood Stove,Given the chosen climate event - which 3 items are most useful to you?_Wheelbarrow,Given the chosen climate event - which 3 items are most useful to you?_Fire,Given the chosen climate event - which 3 items are most useful to you?_Doctor,Given the chosen climate event - which 3 items are most useful to you?_Fan,Given the chosen climate event - which 3 items are most useful to you?_Shower,Given the chosen climate event - which 3 items are most useful to you?_Chicken,Given the chosen climate event - which 3 items are most useful to you?_Overhead Water Tank,Given the chosen climate event - which 3 items are most useful to you?_Corrugated Iron Sheet,Given the chosen climate event - which 3 items are most useful to you?_Light Bulb,Given the chosen climate event - which 3 items are most useful to you?_Road,Given the chosen climate event - which 3 items are most useful to you?_Motorcycle,Given the chosen climate event - which 3 items are most useful to you?_Generator,Given the chosen climate event - which 3 items are most useful to you?_School,Given the chosen climate event - which 3 items are most useful to you?_Grain Mill,Given the chosen climate event - which 3 items are most useful to you?_Battery,Given the chosen climate event - which 3 items are most useful to you?_Boat,Given the chosen climate event - which 3 items are most useful to you?_Computer,Given the chosen climate event - which 3 items are most useful to you?_Medicine,Given the chosen climate event - which 3 items are most useful to you?_Kerosene Lantern,Given the chosen climate event - which 3 items are most useful to you?_Fridge,Given the chosen climate event - which 3 items are most useful to you?_Disposable Sanitary Pad,Given the chosen climate event - which 3 items are most useful to you?_Fishing Net or Rod,Given the chosen climate event - which 3 items are most useful to you?_Meat,Given the chosen climate event - which 3 items are most useful to you?_Alcohol,Given the chosen climate event - which 3 items are most useful to you?_Toilet Flush,Given the chosen climate event - which 3 items are most useful to you?_Book and Pen,Given the chosen climate event - which 3 items are most useful to you?_Torch,Given the chosen climate event - which 3 items are most useful to you?_Toilet Squat
18 - 25,0.5793650793650794,0.21428571428571427,0.1746031746031746,0.1111111111111111,0.05555555555555555,0.03968253968253968,0.0,0.03968253968253968,0.11904761904761904,0.21428571428571427,0.015873015873015872,0.21428571428571427,0.0873015873015873,0.015873015873015872,0.2222222222222222,0.015873015873015872,0.1111111111111111,0.007936507936507936,0.015873015873015872,0.2222222222222222,0.07142857142857142,0.015873015873015872,0.06349206349206349,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,0.03968253968253968,0.015873015873015872,0.0,0.0,0.015873015873015872,0.03968253968253968,0.007936507936507936,0.031746031746031744,0.047619047619047616,0.031746031746031744,0.0,0.023809523809523808,0.023809523809523808,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 - 30,0.49142857142857144,0.1657142857142857,0.14857142857142858,0.11428571428571428,0.06285714285714286,0.045714285714285714,0.011428571428571429,0.017142857142857144,0.18285714285714286,0.3142857142857143,0.011428571428571429,0.17142857142857143,0.09142857142857143,0.03428571428571429,0.1657142857142857,0.03428571428571429,0.08571428571428572,0.011428571428571429,0.045714285714285714,0.22285714285714286,0.05142857142857143,0.017142857142857144,0.04,0.005714285714285714,0.0,0.022857142857142857,0.022857142857142857,0.02857142857142857,0.017142857142857144,0.0,0.022857142857142857,0.045714285714285714,0.05142857142857143,0.005714285714285714,0.005714285714285714,0.05714285714285714,0.022857142857142857,0.011428571428571429,0.017142857142857144,0.03428571428571429,0.03428571428571429,0.0,0.017142857142857144,0.0,0.0,0.011428571428571429,0.011428571428571429,0.0,0.005714285714285714,0.005714285714285714,0.0,0.0,0.005714285714285714
30 - 35,0.48226950354609927,0.1276595744680851,0.1347517730496454,0.06382978723404255,0.03546099290780142,0.05673758865248227,0.014184397163120567,0.04964539007092199,0.15602836879432624,0.3900709219858156,0.0,0.1276595744680851,0.15602836879432624,0.06382978723404255,0.16312056737588654,0.04964539007092199,0.06382978723404255,0.03546099290780142,0.0070921985815602835,0.23404255319148937,0.07801418439716312,0.0425531914893617,0.014184397163120567,0.0070921985815602835,0.0070921985815602835,0.014184397163120567,0.0,0.03546099290780142,0.0,0.0,0.014184397163120567,0.028368794326241134,0.02127659574468085,0.0,0.014184397163120567,0.05673758865248227,0.02127659574468085,0.02127659574468085,0.014184397163120567,0.05673758865248227,0.028368794326241134,0.0,0.028368794326241134,0.0070921985815602835,0.014184397163120567,0.014184397163120567,0.028368794326241134,0.0070921985815602835,0.0,0.0,0.0070921985815602835,0.0,0.0070921985815602835
35 - 40,0.38571428571428573,0.2,0.12857142857142856,0.05,0.04285714285714286,0.03571428571428571,0.007142857142857143,0.03571428571428571,0.12142857142857143,0.2785714285714286,0.007142857142857143,0.19285714285714287,0.2,0.04285714285714286,0.21428571428571427,0.05,0.09285714285714286,0.007142857142857143,0.007142857142857143,0.22142857142857142,0.04285714285714286,0.03571428571428571,0.07857142857142857,0.0,0.007142857142857143,0.014285714285714285,0.02857142857142857,0.05714285714285714,0.0,0.0,0.02857142857142857,0.05,0.03571428571428571,0.0,0.007142857142857143,0.1,0.02142857142857143,0.02142857142857143,0.007142857142857143,0.0,0.03571428571428571,0.014285714285714285,0.02142857142857143,0.0,0.014285714285714285,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.014285714285714285,0.0
40 - 45,0.42857142857142855,0.12380952380952381,0.17142857142857143,0.0761904761904762,0.0761904761904762,0.08571428571428572,0.009523809523809525,0.01904761904761905,0.19047619047619047,0.23809523809523808,0.009523809523809525,0.22857142857142856,0.14285714285714285,0.0761904761904762,0.2761904761904762,0.0380952380952381,0.0761904761904762,0.05714285714285714,0.009523809523809525,0.2,0.0380952380952381,0.047619047619047616,0.0380952380952381,0.0,0.0,0.047619047619047616,0.0380952380952381,0.0380952380952381,0.009523809523809525,0.0,0.01904761904761905,0.009523809523809525,0.02857142857142857,0.0,0.009523809523809525,0.05714285714285714,0.01904761904761905,0.01904761904761905,0.0,0.009523809523809525,0.0,0.009523809523809525,0.0,0.0,0.01904761904761905,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0
45 - 50,0.46551724137931033,0.1810344827586207,0.08620689655172414,0.0603448275862069,0.05172413793103448,0.034482758620689655,0.008620689655172414,0.04310344827586207,0.23275862068965517,0.25862068965517243,0.017241379310344827,0.1724137931034483,0.09482758620689655,0.008620689655172414,0.21551724137931033,0.034482758620689655,0.16379310344827586,0.008620689655172414,0.008620689655172414,0.22413793103448276,0.1206896551724138,0.0603448275862069,0.06896551724137931,0.0,0.0,0.017241379310344827,0.017241379310344827,0.05172413793103448,0.008620689655172414,0.0,0.02586206896551724,0.034482758620689655,0.034482758620689655,0.0,0.0,0.10344827586206896,0.0,0.008620689655172414,0.017241379310344827,0.02586206896551724,0.008620689655172414,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.008620689655172414,0.0,0.0,0.0,0.008620689655172414,0.0
55 - 60,0.375,0.15,0.125,0.0625,0.0625,0.0,0.0,0.05,0.2125,0.35,0.0125,0.225,0.1625,0.0875,0.2,0.0125,0.1,0.0,0.05,0.2,0.0375,0.0375,0.0625,0.0,0.0125,0.025,0.0125,0.0375,0.0,0.0,0.0125,0.0625,0.05,0.0,0.0,0.05,0.025,0.0,0.0125,0.0125,0.025,0.0,0.025,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.025,0.0
60 - 65,0.4393939393939394,0.15151515151515152,0.045454545454545456,0.06060606060606061,0.06060606060606061,0.0,0.0,0.030303030303030304,0.3484848484848485,0.3181818181818182,0.0,0.2727272727272727,0.21212121212121213,0.07575757575757576,0.22727272727272727,0.06060606060606061,0.12121212121212122,0.0,0.015151515151515152,0.22727272727272727,0.045454545454545456,0.030303030303030304,0.0,0.0,0.0,0.07575757575757576,0.0,0.015151515151515152,0.0,0.0,0.0,0.015151515151515152,0.0,0.015151515151515152,0.015151515151515152,0.06060606060606061,0.0,0.015151515151515152,0.0,0.030303030303030304,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65 - 70,0.48484848484848486,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.030303030303030304,0.030303030303030304,0.0,0.15151515151515152,0.30303030303030304,0.0,0.24242424242424243,0.18181818181818182,0.21212121212121213,0.12121212121212122,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.0,0.06060606060606061,0.0,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.06060606060606061,0.09090909090909091,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75 - 80,0.41025641025641024,0.10256410256410256,0.10256410256410256,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.38461538461538464,0.15384615384615385,0.02564102564102564,0.20512820512820512,0.15384615384615385,0.05128205128205128,0.20512820512820512,0.02564102564102564,0.23076923076923078,0.07692307692307693,0.05128205128205128,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.0,0.0,0.02564102564102564,0.07692307692307693,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
