,0
Of these appliances which is the most valuable?_Mobile Phone,0.437440305635148
Of these appliances which is the most valuable?_Water Pump,0.09742120343839542
Of these appliances which is the most valuable?_Radio,0.08787010506208214
Of these appliances which is the most valuable?_Irrigation Pump,0.054441260744985676
Of these appliances which is the most valuable?_TV,0.03533906399235912
Of these appliances which is the most valuable?_Grain Mill,0.026743075453677174
Of these appliances which is the most valuable?_Torch,0.012416427889207259
Of these appliances which is the most valuable?_Gas Stove,0.010506208213944603
Of these appliances which is the most valuable?_Stove,0.0066857688634192934
Of these appliances which is the most valuable?_Fan,0.0057306590257879654
Of these appliances which is the most valuable?_Fridge,0.0057306590257879654
Of these appliances which is the most valuable?_Generator,0.0038204393505253103
Of these appliances which is the most valuable?_Computer,0.0028653295128939827
Of these appliances which is the most valuable?_Electric Iron,0.0019102196752626551
Of these appliances which is the most valuable?_Grinder,0.0009551098376313276
